OID_,COUNT,SUM_Add1,SHAPE_Length,SHAPE_Area,X_Coord,Y_Coord
349,61.000000000000000,61.000000000000000,2000.000000000000000,250000.000000000000000,1211482.148600000888109,473799.256699999794364
309,45.000000000000000,45.000000000000000,2000.000000000000000,250000.000000000000000,1209482.148600000888109,473299.256699999794364
321,86.000000000000000,86.000000000000000,2000.000000000000000,250000.000000000000000,1215482.148600000888109,473299.256699999794364
279,43.000000000000000,43.000000000000000,2000.000000000000000,250000.000000000000000,1212482.148600000888109,472799.256699999794364
302,33.000000000000000,33.000000000000000,2000.000000000000000,250000.000000000000000,1205982.148600000888109,473299.256699999794364
261,6.000000000000000,6.000000000000000,2000.000000000000000,250000.000000000000000,1203482.148600000888109,472799.256699999794364
300,57.000000000000000,57.000000000000000,2000.000000000000000,250000.000000000000000,1204982.148600000888109,473299.256699999794364
245,63.000000000000000,63.000000000000000,2000.000000000000000,250000.000000000000000,1213482.148600000888109,472299.256699999794364
264,72.000000000000000,72.000000000000000,2000.000000000000000,250000.000000000000000,1204982.148600000888109,472799.256699999794364
247,50.000000000000000,50.000000000000000,2000.000000000000000,250000.000000000000000,1214482.148600000888109,472299.256699999794364
286,57.000000000000000,57.000000000000000,2000.000000000000000,250000.000000000000000,1215982.148600000888109,472799.256699999794364
288,53.000000000000000,53.000000000000000,2000.000000000000000,250000.000000000000000,1216982.148600000888109,472799.256699999794364
238,77.000000000000000,77.000000000000000,2000.000000000000000,250000.000000000000000,1209982.148600000888109,472299.256699999794364
345,38.000000000000000,38.000000000000000,2000.000000000000000,250000.000000000000000,1209482.148600000888109,473799.256699999794364
337,43.000000000000000,43.000000000000000,2000.000000000000000,250000.000000000000000,1205482.148600000888109,473799.256699999794364
277,72.000000000000000,72.000000000000000,2000.000000000000000,250000.000000000000000,1211482.148600000888109,472799.256699999794364
319,46.000000000000000,46.000000000000000,2000.000000000000000,250000.000000000000000,1214482.148600000888109,473299.256699999794364
347,14.000000000000000,14.000000000000000,2000.000000000000000,250000.000000000000000,1210482.148600000888109,473799.256699999794364
282,179.000000000000000,179.000000000000000,2000.000000000000000,250000.000000000000000,1213982.148600000888109,472799.256699999794364
308,20.000000000000000,20.000000000000000,2000.000000000000000,250000.000000000000000,1208982.148600000888109,473299.256699999794364
342,33.000000000000000,33.000000000000000,2000.000000000000000,250000.000000000000000,1207982.148600000888109,473799.256699999794364
303,38.000000000000000,38.000000000000000,2000.000000000000000,250000.000000000000000,1206482.148600000888109,473299.256699999794364
267,35.000000000000000,35.000000000000000,2000.000000000000000,250000.000000000000000,1206482.148600000888109,472799.256699999794364
310,50.000000000000000,50.000000000000000,2000.000000000000000,250000.000000000000000,1209982.148600000888109,473299.256699999794364
341,49.000000000000000,49.000000000000000,2000.000000000000000,250000.000000000000000,1207482.148600000888109,473799.256699999794364
314,43.000000000000000,43.000000000000000,2000.000000000000000,250000.000000000000000,1211982.148600000888109,473299.256699999794364
322,230.000000000000000,230.000000000000000,2000.000000000000000,250000.000000000000000,1215982.148600000888109,473299.256699999794364
343,34.000000000000000,34.000000000000000,2000.000000000000000,250000.000000000000000,1208482.148600000888109,473799.256699999794364
320,52.000000000000000,52.000000000000000,2000.000000000000000,250000.000000000000000,1214982.148600000888109,473299.256699999794364
350,62.000000000000000,62.000000000000000,2000.000000000000000,250000.000000000000000,1211982.148600000888109,473799.256699999794364
283,70.000000000000000,70.000000000000000,2000.000000000000000,250000.000000000000000,1214482.148600000888109,472799.256699999794364
243,47.000000000000000,47.000000000000000,2000.000000000000000,250000.000000000000000,1212482.148600000888109,472299.256699999794364
250,64.000000000000000,64.000000000000000,2000.000000000000000,250000.000000000000000,1215982.148600000888109,472299.256699999794364
274,433.000000000000000,433.000000000000000,2000.000000000000000,250000.000000000000000,1209982.148600000888109,472799.256699999794364
318,90.000000000000000,90.000000000000000,2000.000000000000000,250000.000000000000000,1213982.148600000888109,473299.256699999794364
271,47.000000000000000,47.000000000000000,2000.000000000000000,250000.000000000000000,1208482.148600000888109,472799.256699999794364
239,67.000000000000000,67.000000000000000,2000.000000000000000,250000.000000000000000,1210482.148600000888109,472299.256699999794364
324,25.000000000000000,25.000000000000000,2000.000000000000000,250000.000000000000000,1216982.148600000888109,473299.256699999794364
307,35.000000000000000,35.000000000000000,2000.000000000000000,250000.000000000000000,1208482.148600000888109,473299.256699999794364
348,88.000000000000000,88.000000000000000,2000.000000000000000,250000.000000000000000,1210982.148600000888109,473799.256699999794364
305,79.000000000000000,79.000000000000000,2000.000000000000000,250000.000000000000000,1207482.148600000888109,473299.256699999794364
278,50.000000000000000,50.000000000000000,2000.000000000000000,250000.000000000000000,1211982.148600000888109,472799.256699999794364
236,35.000000000000000,35.000000000000000,2000.000000000000000,250000.000000000000000,1208982.148600000888109,472299.256699999794364
323,159.000000000000000,159.000000000000000,2000.000000000000000,250000.000000000000000,1216482.148600000888109,473299.256699999794364
273,95.000000000000000,95.000000000000000,2000.000000000000000,250000.000000000000000,1209482.148600000888109,472799.256699999794364
336,46.000000000000000,46.000000000000000,2000.000000000000000,250000.000000000000000,1204982.148600000888109,473799.256699999794364
